player,team,position,games_played,rush_attempts_pg,rushing_yards_pg,rushing_tds,targets_pg,receptions_pg,receiving_yards_pg,carries_share,snap_share,red_zone_carries,goal_line_touches,fantasy_points_pg
J.Wright,MIA,,9,7.778,32.0,2.0,1.0,0.556,4.889,16.2,0.0,12.0,4.0,5.578
J.Wright,SEA,,1,5.0,20.0,0.0,0.0,0.0,0.0,0.98,0.0,,,2.0
Ji.Horn,CAR,,10,0.8,6.9,0.0,1.5,1.1,10.8,1.73,0.0,0.0,0.0,2.87
K.Allen,DET,,1,2.0,-2.0,0.0,0.0,0.0,0.0,0.45,0.0,,,-0.2
K.Gainwell,PIT,,17,6.706,31.588,5.0,5.0,4.294,28.588,28.01,0.0,23.0,10.0,13.135
K.Herbert,NYJ,,3,5.333,17.333,0.0,1.333,0.333,1.333,3.49,0.0,3.0,0.0,2.2
K.Hunt,KC,,17,9.588,35.941,8.0,1.471,1.059,8.412,37.91,0.0,38.0,16.0,8.671
K.Johnson,PIT,,10,2.8,6.9,0.0,0.2,0.1,0.9,6.88,0.0,4.0,0.0,0.88
K.Johnson,TB,,5,0.4,2.6,0.0,1.4,0.8,12.8,0.42,0.0,,,3.54
K.Juszczyk,SF,,15,0.133,-0.2,0.0,1.867,1.6,14.2,0.42,0.0,1.0,3.0,3.8
K.Miller,NO,,7,6.714,27.571,1.0,0.714,0.714,4.286,10.76,0.0,5.0,0.0,4.757
K.Milton,CIN,,1,2.0,2.0,0.0,0.0,0.0,0.0,0.52,0.0,,,0.2
K.Mitchell,BAL,,12,4.917,28.417,1.0,1.0,0.75,5.25,11.64,0.0,14.0,0.0,4.617
K.Monangai,CHI,,17,10.059,46.059,5.0,1.765,1.059,9.647,33.73,0.0,38.0,12.0,8.394
K.Mullings,TEN,,3,1.0,2.333,0.0,0.0,0.0,0.0,0.79,0.0,,,0.233
K.Nwangwu,NYJ,,2,6.5,24.5,0.0,0.5,0.0,0.0,2.83,0.0,3.0,2.0,2.45
K.Raymond,DET,,12,0.167,1.583,0.0,2.5,2.0,24.083,0.45,0.0,0.0,0.0,5.067
K.Shakir,BUF,,16,0.062,0.312,0.0,6.062,4.5,42.875,0.18,0.0,0.0,3.0,10.319
K.Turpin,DAL,,15,1.133,5.933,0.0,2.533,1.733,26.4,3.66,0.0,0.0,0.0,5.767
K.Vidal,LAC,,12,12.917,53.583,3.0,1.833,1.333,11.333,33.19,0.0,26.0,7.0,9.825
K.Walker,SEA,,17,13.0,60.412,5.0,2.118,1.824,16.588,43.5,0.0,34.0,8.0,11.288
K.Williams,CIN,,3,0.667,3.333,0.0,0.333,0.333,1.667,0.52,0.0,,,0.833
K.Williams,LA,,17,15.235,73.647,10.0,2.941,2.118,16.529,55.7,0.0,53.0,18.0,15.724
K.Williams,NE,,13,0.154,0.231,0.0,1.615,0.769,16.077,0.4,0.0,,,3.785
L.Allen,JAX,,14,1.643,6.714,0.0,0.786,0.714,3.857,4.68,0.0,4.0,1.0,1.771
