player,team,position,games_played,pass_attempts_pg,completions_pg,passing_yards_pg,passing_tds_pg,interceptions_pg,rush_attempts_pg,rushing_yards_pg,snap_share,red_zone_pass_attempts,fantasy_points_pg
R.Harvey,DEN,QB,1,1.0,0.0,0.0,0.0,0.0,11.0,30.0,0.0,1.0,8.0
R.Leonard,IND,QB,5,14.0,7.8,83.0,0.4,0.6,1.2,5.4,0.0,17.0,7.26
R.Sanchez,IND,QB,1,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,,0.64
R.Wilson,NYG,QB,6,21.5,11.5,138.5,0.5,0.5,3.0,17.667,0.0,20.0,8.807
S.Buechele,KC,QB,1,19.0,7.0,88.0,0.0,0.0,1.0,4.0,0.0,3.0,3.92
S.Darnold,SEA,QB,17,29.765,19.0,238.118,1.471,0.824,2.059,5.588,0.0,73.0,15.142
S.Rattler,NO,QB,9,30.556,19.333,176.222,0.889,0.556,3.556,18.556,0.0,32.0,12.016
S.Sanders,CLE,QB,8,29.375,15.0,175.0,0.875,1.25,2.75,21.125,0.0,17.0,12.112
T.Bagent,CHI,QB,2,2.0,1.5,23.5,0.0,0.0,1.0,3.5,0.0,,1.29
T.Bridgewater,TB,QB,1,17.0,8.0,62.0,0.0,0.0,1.0,6.0,0.0,7.0,3.08
T.Burks,WAS,QB,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
T.Hill,NO,QB,5,1.2,0.4,11.4,0.2,0.0,7.8,21.6,0.0,2.0,4.936
T.Huntley,BAL,QB,4,18.75,13.0,106.5,0.5,0.0,5.25,38.5,0.0,16.0,10.11
T.Lance,LAC,QB,4,15.75,6.75,56.5,0.0,0.25,4.25,21.25,0.0,4.0,4.135
T.Lawrence,JAX,QB,17,35.471,20.059,235.706,1.706,0.706,4.882,21.118,0.0,92.0,20.834
T.McKee,PHI,QB,2,23.0,12.0,137.0,0.5,0.5,1.5,6.0,0.0,8.0,7.58
T.Shough,NO,QB,11,32.636,20.091,216.727,0.909,0.545,4.182,16.909,0.0,28.0,15.087
T.Tagovailoa,MIA,QB,14,29.786,18.571,190.0,1.429,1.071,1.429,3.071,0.0,62.0,12.55
T.Taylor,NYJ,QB,6,24.667,13.333,129.833,0.833,0.833,4.5,23.833,0.0,15.0,11.077
T.Warren,IND,QB,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.4
Z.Wilson,MIA,QB,3,3.667,2.0,10.667,0.0,0.0,0.333,1.0,0.0,,0.527
