player,team,position,snap_share,route_participation,target_share,air_yards_share,red_zone_touch_share,red_zone_carries,red_zone_targets,goal_line_touches,targets_pg,receptions_pg,rush_attempts_pg,carries_share,pass_attempts_pg,passing_yards_pg,rushing_yards_pg,receiving_yards_pg,fantasy_points_pg
A.Richardson,IND,QB,0.0,0.0,0.19,0.05,0.0,,,,1.0,1.0,0.0,0.0,2.0,9.0,0.0,9.0,2.26
A.Richardson,IND,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,4.0,0.9,0.0,0.0,-1.0,0.0,-0.1
A.Rodgers,PIT,QB,0.0,0.0,0.19,-0.28,1.29,3.0,0.0,2.0,0.062,0.062,1.312,5.16,33.062,207.625,3.812,-0.562,14.63
A.Smith,NYJ,,0.0,0.0,3.35,6.71,0.0,,,,1.333,0.583,0.333,0.87,0.0,0.0,1.083,4.333,1.125
A.St. Brown,DET,,0.0,0.0,31.27,37.84,12.95,1.0,35.0,9.0,10.118,6.882,0.176,0.68,0.0,0.0,0.529,82.412,19.059
A.Thielen,MIN,,0.0,0.0,4.03,3.89,0.95,0.0,2.0,1.0,2.111,0.889,0.0,0.0,0.0,0.0,0.0,7.667,1.656
A.Thielen,PIT,,0.0,0.0,3.24,5.09,0.86,0.0,2.0,0.0,3.4,2.2,0.0,0.0,0.0,0.0,0.0,23.4,4.54
A.Trammell,JAX,,0.0,0.0,1.82,2.66,0.35,0.0,1.0,0.0,2.0,0.6,0.0,0.0,0.0,0.0,0.0,9.2,1.52
A.Trautman,DEN,,0.0,0.0,3.9,2.42,0.4,0.0,1.0,1.0,2.091,1.818,0.0,0.0,0.0,0.0,0.0,17.727,4.136
B.Allen,NYJ,,0.0,0.0,0.63,0.25,5.03,7.0,2.0,2.0,0.75,0.5,4.75,4.14,0.0,0.0,19.0,4.25,4.325
B.Allen,TEN,QB,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,31.0,72.0,0.0,0.0,1.88
B.Aubrey,DAL,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.22,0.0,0.0,6.0,0.0,0.6
B.Bates,CLE,,0.0,0.0,0.57,0.45,0.56,0.0,1.0,1.0,1.0,0.667,0.0,0.0,0.0,0.0,0.0,8.333,1.5
B.Bates,HOU,,0.0,0.0,0.36,0.5,0.0,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,4.3
B.Berrios,HOU,,0.0,0.0,1.44,0.52,0.82,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,18.5,4.85
B.Bowers,LV,,0.0,0.0,17.54,17.51,11.11,0.0,18.0,3.0,7.25,5.333,0.167,0.54,0.0,0.0,0.167,56.667,14.517
B.Brooks,HOU,,0.0,0.0,0.0,0.0,0.82,2.0,0.0,2.0,0.0,0.0,5.667,3.57,0.0,0.0,26.0,0.0,2.6
B.Brown,CHI,,0.0,0.0,0.19,0.09,0.0,,,,1.0,0.0,5.0,0.99,0.0,0.0,37.0,0.0,9.7
B.Collins,NYG,,0.0,0.0,1.19,1.69,0.38,0.0,1.0,0.0,2.0,0.667,0.0,0.0,0.0,0.0,0.0,8.333,1.5
B.Cook,NYJ,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.83,34.6,147.8,9.8,0.0,7.092
B.Cooks,BUF,,0.0,0.0,2.25,8.16,0.0,,,,2.75,1.25,0.0,0.0,0.0,0.0,0.0,28.5,4.1
B.Cooks,NO,,0.0,0.0,4.42,4.94,0.53,0.0,1.0,0.0,2.778,2.111,0.0,0.0,0.0,0.0,0.0,18.333,3.944
B.Corum,LA,,0.0,0.0,2.41,0.47,9.3,27.0,1.0,13.0,0.824,0.471,8.529,31.18,0.0,0.0,43.882,2.118,7.188
B.Covey,PHI,,0.0,0.0,0.86,0.19,0.0,,,,4.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0
B.Hall,NYJ,QB,0.0,0.0,0.63,-0.06,18.44,24.0,9.0,5.0,3.0,2.0,18.0,3.92,1.0,4.0,133.0,14.0,32.86
B.Hall,NYJ,,0.0,0.0,9.43,0.5,18.44,24.0,9.0,5.0,3.0,2.267,15.0,49.02,0.0,0.0,62.133,22.4,11.92
B.Irving,TB,,0.0,0.0,6.42,-1.29,10.09,18.0,4.0,0.0,3.5,3.0,17.3,36.5,0.0,0.0,58.8,27.7,14.05
B.Mann,PHI,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.21,0.0,0.0,-34.0,0.0,-3.4
B.Mayfield,TB,QB,0.0,0.0,0.0,0.0,4.13,9.0,0.0,1.0,0.0,0.0,3.235,11.6,34.412,217.235,22.471,0.0,16.76
B.Melton,GB,,0.0,0.0,2.81,5.43,0.0,,,,1.625,0.5,0.625,1.02,0.0,0.0,4.375,13.375,3.025
B.Nix,DEN,QB,0.0,0.0,0.17,0.05,7.26,17.0,1.0,1.0,0.059,0.0,4.882,18.16,37.588,231.235,20.941,0.0,18.344
B.Oliver,TEN,,0.0,0.0,0.19,0.15,0.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.8
B.Purdy,SF,QB,0.0,0.0,0.0,0.0,2.52,7.0,0.0,2.0,0.0,0.0,3.667,6.86,33.111,240.778,16.333,0.0,21.042
