team,player,red_zone_carries,red_zone_targets,red_zone_pass_attempts,goal_line_touches,red_zone_touch_share
MIN,A.Jones,14,5,0,3,9.0
MIN,C.Ham,2,0,0,2,0.95
MIN,C.Wentz,2,0,39,0,0.95
MIN,J.Mason,29,1,0,7,14.22
MIN,J.McCarthy,6,0,44,1,2.84
MIN,T.Chandler,1,2,0,1,1.42
MIN,T.Hockenson,1,11,0,2,5.69
MIN,Z.Scott,3,3,0,1,2.84
NE,A.Gibson,4,0,0,2,1.53
NE,D.Douglas,1,7,0,2,3.05
NE,D.Johnson,1,0,0,1,0.38
NE,D.Maye,22,0,83,4,8.4
NE,R.Stevenson,27,6,0,13,12.6
NE,T.Henderson,36,4,0,9,15.27
NE,T.Jennings,4,0,0,2,1.53
NO,A.Estime,6,0,0,3,3.17
NO,A.Kamara,15,5,0,2,10.58
NO,D.Neal,5,1,0,2,3.17
NO,E.Hull,3,0,0,0,1.59
NO,K.Miller,5,0,0,0,2.65
NO,R.Shaheed,1,7,0,2,4.23
NO,S.Rattler,5,1,32,2,3.17
NO,T.Hill,13,0,2,3,6.88
NO,T.Shough,14,0,28,6,7.41
NYG,C.Skattebo,24,4,0,10,10.73
NYG,D.Singletary,22,2,1,11,9.2
NYG,J.Dart,22,0,56,7,8.43
NYG,J.Winston,2,0,10,1,0.77
NYG,R.Wilson,7,0,20,1,2.68
NYG,T.Tracy,21,5,0,2,9.96
NYJ,A.Beck,1,2,0,2,1.68
NYJ,B.Allen,7,2,0,2,5.03
NYJ,B.Hall,24,9,1,5,18.44
NYJ,I.Davis,9,2,0,1,6.15
NYJ,J.Fields,13,1,30,5,7.82
NYJ,K.Herbert,3,1,0,0,2.23
NYJ,K.Nwangwu,3,0,0,2,1.68
NYJ,T.Taylor,3,0,15,0,1.68
PHI,A.Dillon,2,1,0,0,1.41
PHI,J.Hurts,27,0,56,12,12.68
PHI,S.Barkley,44,8,0,17,24.41
PHI,T.Bigsby,17,1,0,6,8.45
PIT,A.Rodgers,3,0,81,2,1.29
PIT,Co.Heyward,6,2,0,4,3.43
PIT,D.Metcalf,1,13,0,6,6.01
PIT,J.Smith,2,8,0,3,4.29
PIT,J.Warren,40,5,0,15,19.31
PIT,K.Gainwell,23,17,0,10,17.17
PIT,K.Johnson,4,0,0,0,1.72
PIT,M.Rudolph,1,0,5,0,0.43
SEA,A.Barner,3,13,0,4,6.15
SEA,G.Holani,5,0,0,0,1.92
SEA,K.Walker,34,3,0,8,14.23
SEA,S.Darnold,6,0,73,2,2.31
SEA,Z.Charbonnet,52,3,0,20,21.15
SF,B.Purdy,7,0,60,2,2.52
SF,B.Robinson,13,4,0,3,6.12
SF,C.McCaffrey,75,25,1,24,35.97
SF,G.Kittle,1,13,0,3,5.04
SF,K.Juszczyk,1,5,0,3,2.16
SF,M.Jones,3,0,43,1,1.08
TB,B.Irving,18,4,0,0,10.09
TB,B.Mayfield,9,0,76,1,4.13
TB,E.Egbuka,1,15,0,4,7.34
TB,J.McMillan,1,1,0,0,0.92
TB,R.White,19,10,0,9,13.3
TB,S.Tucker,21,3,0,12,11.01
TB,T.Johnson,2,7,0,0,4.13
TEN,C.Dike,2,14,0,5,10.53
TEN,C.Ward,10,0,59,2,6.58
TEN,J.Chestnut,4,0,0,2,2.63
TEN,T.Pollard,19,1,0,4,13.16
TEN,T.Spears,10,7,0,2,11.18
WAS,A.Ekeler,2,0,0,0,0.92
WAS,C.Rodriguez,33,1,0,14,15.6
WAS,D.Samuel,4,13,0,5,7.8
WAS,J.Croskey-Merritt,32,1,0,13,15.14
WAS,J.Daniels,7,0,26,3,3.21
WAS,J.Johnson,2,0,6,1,0.92
WAS,J.McNichols,6,3,0,3,4.13
WAS,M.Mariota,8,0,33,3,3.67
ARI,A.Baccellia,0,2,0,0,0.85
