player,team,position,games_played,targets_pg,receptions_pg,receiving_yards_pg,receiving_tds,target_share,air_yards_share,air_yards_pg,snap_share,route_participation,red_zone_targets,goal_line_touches,fantasy_points_pg
B.Yurosek,MIN,,2,1.5,1.0,7.0,0.0,0.64,0.3,5.5,0.0,0.0,,,1.7
C.Akers,MIN,,1,1.0,0.0,0.0,0.0,0.21,-0.16,-6.0,0.0,0.0,,,1.9
C.Austin,PIT,,14,3.929,2.214,26.571,3.0,10.5,19.11,43.214,0.0,0.0,4.0,0.0,6.157
C.Brooks,GB,,14,1.214,0.929,6.5,0.0,3.68,0.15,0.429,0.0,0.0,3.0,0.0,2.336
C.Brown,CIN,,17,5.235,4.059,24.353,5.0,14.57,1.01,2.706,0.0,0.0,12.0,17.0,16.371
C.Colby,SF,,1,1.0,1.0,-1.0,0.0,0.18,-0.15,-6.0,0.0,0.0,,,0.9
C.Dike,TEN,,17,4.353,2.824,24.882,4.0,13.96,15.27,35.235,0.0,0.0,14.0,5.0,6.829
C.Edwards-Helaire,KC,,2,1.0,1.0,4.5,0.0,0.36,-0.09,-2.0,0.0,0.0,,,2.1
C.Ford,CIN,,1,1.0,1.0,21.0,0.0,0.16,0.09,4.0,0.0,0.0,,,3.1
C.Godwin,TB,,9,5.778,3.667,40.0,2.0,9.54,8.32,40.111,0.0,0.0,8.0,3.0,9.0
C.Grandy,CIN,,2,1.0,1.0,3.5,0.0,0.33,-0.13,-3.0,0.0,0.0,,,1.35
C.Ham,MIN,,4,0.5,0.5,2.75,0.0,0.42,0.05,0.5,0.0,0.0,0.0,2.0,3.9
C.Hubbard,CAR,,15,2.6,2.0,14.867,3.0,8.09,-1.23,-2.667,0.0,0.0,6.0,5.0,8.493
C.Jones,CIN,,1,1.0,0.0,0.0,0.0,0.16,0.92,42.0,0.0,0.0,,,0.0
C.Kiner,ARI,,4,0.75,0.5,3.75,0.0,0.48,0.25,2.75,0.0,0.0,1.0,0.0,2.325
C.Kirk,HOU,,11,4.818,2.545,21.727,1.0,9.52,7.94,33.182,0.0,0.0,7.0,3.0,5.264
C.Kmet,CHI,QB,1,2.0,1.0,10.0,0.0,0.37,0.6,27.0,0.0,0.0,7.0,1.0,2.0
C.Kmet,CHI,,15,3.133,1.933,22.467,2.0,8.77,8.69,26.267,0.0,0.0,7.0,1.0,4.98
C.Kolar,BAL,,11,1.364,0.909,12.909,2.0,3.67,3.14,9.636,0.0,0.0,3.0,1.0,3.291
C.Kupp,SEA,QB,1,1.0,1.0,32.0,0.0,0.22,0.49,18.0,0.0,0.0,13.0,3.0,3.2
C.Kupp,SEA,,15,4.667,3.067,37.4,2.0,15.32,13.85,33.8,0.0,0.0,13.0,3.0,7.607
C.Lamb,DAL,,13,9.0,5.769,82.846,3.0,19.18,28.49,107.923,0.0,0.0,17.0,4.0,15.454
C.Loveland,CHI,,16,5.188,3.625,44.562,6.0,15.49,16.45,46.625,0.0,0.0,15.0,5.0,10.319
C.Manhertz,NYG,,2,1.0,0.5,3.5,0.0,0.4,0.26,5.5,0.0,0.0,1.0,0.0,0.85
C.McCaffrey,SF,QB,1,4.0,4.0,21.0,0.0,0.72,-0.1,-4.0,0.0,0.0,25.0,24.0,17.4
C.McCaffrey,SF,,16,7.812,6.125,55.188,7.0,22.56,8.21,21.188,0.0,0.0,25.0,24.0,24.825
C.Moore,WAS,,8,2.875,1.375,25.875,1.0,5.28,8.85,41.5,0.0,0.0,2.0,0.0,4.825
C.Okonkwo,TEN,,17,4.647,3.294,32.941,2.0,14.91,9.33,21.529,0.0,0.0,5.0,0.0,7.294
C.Olave,NO,QB,1,6.0,3.0,20.0,1.0,1.06,0.68,32.0,0.0,0.0,15.0,2.0,10.0
