player,team,position,attempts,completions,passing_yards,passing_tds,interceptions,sacks,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,air_yards,fantasy_points,fantasy_points_ppr,offense_snaps,defense_snaps,st_snaps,games_played,pass_attempts_pg,completions_pg,passing_yards_pg,passing_tds_pg,interceptions_pg,rush_attempts_pg,rushing_yards_pg,targets_pg,receptions_pg,receiving_yards_pg,air_yards_pg,fantasy_points_pg,fantasy_points_std_pg,target_share,air_yards_share,carries_share,snap_share,route_participation,red_zone_touch_share,red_zone_carries,red_zone_targets,red_zone_pass_attempts,goal_line_touches
T.McKee,PHI,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.5,-2.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,8.0,0.0
T.McLaurin,WAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,38.0,582.0,3.0,839.0,76.2,114.2,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.8,58.2,83.9,11.42,7.62,13.76,22.37,0.0,0.0,0.0,3.67,0.0,8.0,0.0,3.0
T.McMillan,CAR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,70.0,1013.0,7.0,1410.0,143.3,213.3,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.176,4.118,59.588,82.941,12.547,8.429,25.31,43.26,0.0,0.0,0.0,7.25,0.0,15.0,0.0,3.0
T.Patrick,JAX,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,187.0,3.0,258.0,36.7,51.7,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.846,1.154,14.385,19.846,3.977,2.823,4.37,5.29,0.0,0.0,0.0,3.11,0.0,9.0,0.0,1.0
T.Penning,LAC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.18,0.11,0.0,0.0,0.0,0.41,0.0,1.0,0.0,1.0
T.Pollard,TEN,,0.0,0.0,0.0,0.0,0.0,0.0,242.0,1082.0,5.0,41.0,33.0,206.0,0.0,12.0,158.8,191.8,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,14.235,63.647,2.412,1.941,12.118,0.706,11.282,9.341,7.74,0.31,64.02,0.0,0.0,13.16,19.0,1.0,0.0,4.0
T.Reiman,ARI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,18.0,0.0,26.0,1.8,4.8,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,1.0,6.0,8.667,1.6,0.6,0.81,0.58,0.0,0.0,0.0,0.0,,,,
T.Shavers,BUF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,245.0,1.0,298.0,30.5,45.5,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.5,24.5,29.8,4.55,3.05,4.71,8.53,0.0,0.0,0.0,0.0,,,,
T.Sherfield,ARI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.16,0.13,0.0,0.0,0.0,0.43,0.0,1.0,0.0,0.0
T.Sherfield,DEN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,21.0,0.0,39.0,2.1,5.1,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,1.0,7.0,13.0,1.7,0.7,0.68,0.89,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0
T.Shough,NO,QB,359.0,221.0,2384.0,10.0,6.0,31.0,46.0,186.0,3.0,0.0,0.0,0.0,0.0,0.0,165.96,165.96,0.0,0.0,0.0,11,32.636,20.091,216.727,0.909,0.545,4.182,16.909,0.0,0.0,0.0,0.0,15.087,15.087,0.0,0.0,10.53,0.0,0.0,7.41,14.0,0.0,28.0,6.0
T.Spears,TEN,,0.0,0.0,0.0,0.0,0.0,0.0,72.0,283.0,2.0,50.0,45.0,264.0,0.0,-115.0,66.7,111.7,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,5.538,21.769,3.846,3.462,20.308,-8.846,8.592,5.131,9.43,-2.93,19.05,0.0,0.0,11.18,10.0,7.0,0.0,2.0
T.Tagovailoa,MIA,QB,417.0,260.0,2660.0,20.0,15.0,30.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,175.7,175.7,0.0,0.0,0.0,14,29.786,18.571,190.0,1.429,1.071,1.429,3.071,0.0,0.0,0.0,0.0,12.55,12.55,0.0,0.0,4.63,0.0,0.0,1.0,2.0,0.0,62.0,0.0
T.Taylor,NYJ,QB,148.0,80.0,779.0,5.0,5.0,14.0,27.0,143.0,1.0,0.0,0.0,0.0,0.0,0.0,66.46,66.46,0.0,0.0,0.0,6,24.667,13.333,129.833,0.833,0.833,4.5,23.833,0.0,0.0,0.0,0.0,11.077,11.077,0.0,0.0,5.88,0.0,0.0,1.68,3.0,0.0,15.0,0.0
